monthly_income,age,gender,house_rent,existing_emi,cibil_score,loan_amount,tenure_months,foir,defaulted
62840.63,60,Female,6556.57,6492.89,820,2083213.43,84,0.7753,0
45746.38,21,Male,15942.59,4566.33,666,2234665.53,48,1.7108,1
67767.92,24,Female,15985.44,18805.79,665,1490959.59,36,1.2337,1
104978.93,50,Male,22928.21,34454.94,707,850948.48,84,0.6854,0
43604.83,32,Female,14766.97,11890.95,678,492055.63,84,0.8046,0
43605.19,55,Female,6059.6,9242.23,632,929341.01,84,0.7158,1
107969.75,33,Other,15904.96,9170.41,619,1395938.5,48,0.5664,0
71949.33,51,Female,21728.96,13239.52,735,571192.54,84,0.6219,0
38764.6,58,Male,6404.21,3168.2,766,2386035.77,48,1.8378,1
64297.76,43,Other,19276.9,18183.66,674,2253125.03,36,1.7298,1
38882.17,24,Female,6527.67,5266.06,715,179097.27,48,0.4224,0
38837.25,36,Male,4205.95,11332.48,732,1448708.32,84,1.0388,1
55325.05,27,Female,12683.47,7389.39,648,1994341.1,12,3.5488,1
25000.0,42,Female,3729.29,7211.31,775,688940.7,84,0.9095,1
25000.0,49,Female,7236.54,2916.53,733,1357350.96,60,1.5866,1
37006.77,31,Male,9632.86,5700.76,754,1074380.52,60,1.0456,1
29542.48,53,Female,9775.63,6364.07,764,571711.03,12,2.2567,1
57361.22,49,Male,16964.41,1411.12,850,1575369.72,60,0.9175,0
31131.89,59,Male,4520.16,10331.82,653,2484861.22,84,1.8437,1
25000.0,32,Male,7500.99,5019.05,661,976689.42,48,1.5105,1
102009.82,27,Female,26566.85,18130.92,829,1425709.62,84,0.6775,0
43787.86,59,Male,11701.78,12864.34,762,886851.24,60,1.0014,0
50704.2,46,Male,15620.23,15364.23,724,2204676.68,60,1.5565,1
25000.0,60,Male,6086.4,4569.78,688,2175046.48,48,2.6749,1
37339.56,29,Male,8084.05,12118.25,704,529056.13,60,0.8491,1
51816.36,61,Male,13428.74,1174.07,706,2259877.3,48,1.409,1
27570.54,54,Female,4810.77,1092.59,622,463620.91,36,0.7646,1
59151.01,33,Male,8615.3,12355.22,783,329055.9,84,0.4498,0
36303.91,56,Female,9226.53,4498.89,589,1667043.08,36,1.8814,1
42368.19,45,Female,6713.75,6883.93,664,1026169.85,60,0.8475,1
36284.53,44,Male,4353.37,4166.47,691,1373777.42,36,1.4743,1
123764.9,37,Female,12393.64,17531.78,850,1666169.88,60,0.5345,0
48691.09,22,Female,12274.04,14019.44,713,226809.37,36,0.6925,0
28886.93,33,Other,5504.03,6000.3,740,803087.61,60,1.0027,1
73959.47,51,Female,21306.08,25817.07,662,1206175.15,24,1.3973,1
26624.26,49,Male,5159.62,7332.53,776,739809.78,84,0.945,0
54417.0,48,Male,12053.41,5212.23,850,217531.32,12,0.6706,0
25000.0,47,Male,5044.28,2313.02,751,308023.78,84,0.5053,0
25232.98,35,Male,6627.28,2966.5,698,2024194.89,36,3.0065,1
54091.41,51,Female,10225.16,15964.58,587,2287328.22,48,1.5771,1
70914.72,60,Female,24177.8,677.28,765,465359.93,12,0.9305,0
53406.31,35,Female,17839.67,4302.6,655,698228.7,60,0.6989,0
46266.61,53,Female,14435.51,14653.63,670,1665398.57,12,3.8101,1
42169.32,40,Male,13919.04,9444.4,780,2390252.26,48,2.019,1
25000.0,32,Male,5307.12,1984.91,689,819015.3,48,1.1384,1
34203.32,57,Female,8007.26,2623.42,713,2152512.7,84,1.3884,1
38936.24,29,Female,11117.2,11755.49,768,1314459.15,60,1.3214,1
83163.27,43,Female,22789.77,26014.73,674,2395740.73,84,1.0801,1
58209.81,28,Female,18782.54,5218.27,636,427020.79,36,0.6525,0
25000.0,52,Male,6977.07,3679.47,750,2436813.76,36,3.6174,1
57644.03,34,Female,20144.93,16838.31,769,1158348.71,24,1.5782,1
40435.32,47,Male,7566.52,10911.58,682,2387052.14,84,1.4678,1
34945.29,45,Female,10771.87,9954.89,679,1200856.52,48,1.4813,1
66558.61,33,Female,18264.26,12076.35,648,1372197.12,24,1.4167,1
82084.11,41,Male,22396.37,26188.29,766,2031460.02,48,1.2315,1
78091.78,51,Male,14170.45,8908.95,844,1834308.4,24,1.3903,1
32221.57,57,Other,9550.49,1766.88,780,1587047.97,84,1.1946,1
41998.69,25,Male,13653.52,10418.04,714,1100752.06,36,1.4312,1
57851.33,33,Female,8945.96,10920.83,766,2001852.08,48,1.2378,1
79839.41,48,Female,20468.77,23880.37,665,2375748.0,84,1.065,1
38577.05,45,Male,7639.56,1095.81,743,123546.15,84,0.2813,0
44675.05,55,Male,15519.53,13192.2,649,1510828.23,36,1.7498,1
28193.1,59,Male,6194.26,2894.11,712,2178354.23,12,7.1512,1
26954.26,27,Female,4233.98,6177.9,789,1667470.09,36,2.4116,1
73589.89,58,Other,14384.2,1033.58,772,2021990.22,48,0.9197,0
96579.33,52,Female,25444.75,20605.53,756,2248146.65,12,2.5341,1
47287.2,23,Male,5628.23,11871.22,747,1902282.44,24,2.245,1
80964.53,59,Male,20314.04,10449.49,672,1820841.76,60,0.8689,1
58736.58,57,Female,19547.9,4428.37,729,2415390.14,48,1.471,1
35505.4,42,Male,11098.66,6681.08,770,2172843.18,60,1.8313,1
58729.52,28,Female,6866.56,17126.51,704,2056906.89,60,1.17,1
105769.59,37,Other,36844.57,11977.51,706,307368.07,12,0.7184,0
48150.51,47,Female,13226.07,4254.78,689,673671.72,24,1.0151,1
107186.1,53,Other,15067.17,10464.3,701,1436214.46,36,0.6769,0
25000.0,37,Female,2577.6,8304.91,669,1802944.25,12,6.8092,1
73935.71,32,Male,10559.55,9297.19,721,827715.74,24,0.7903,0
51201.47,47,Male,15849.11,64.59,699,323987.47,36,0.518,0
42213.54,28,Male,4449.72,11549.14,624,846638.05,36,1.0356,1
51322.29,43,Female,8123.64,12560.93,850,1950470.03,24,2.1743,1
25000.0,49,Male,7233.16,1124.97,652,2205762.47,36,3.2229,1
43921.71,40,Female,10827.92,15140.54,711,2290968.76,48,1.9394,1
58603.89,36,Male,17328.23,12472.18,723,1009280.03,48,0.9536,1
102636.31,37,Female,29409.16,17989.36,685,994092.58,12,1.3178,1
37830.27,36,Other,4261.59,5060.81,714,1076097.93,36,1.1777,1
32720.37,39,Female,10572.86,10291.72,666,1001942.73,36,1.6402,1
38143.91,28,Female,5979.36,3257.0,767,1698871.86,24,2.318,1
77474.26,58,Female,18465.84,7748.91,718,959975.83,48,0.6586,0
57778.7,58,Female,15084.4,2475.46,766,148825.45,60,0.3599,0
37613.56,49,Female,5347.03,9993.61,815,1153659.04,12,3.1186,1
63362.89,61,Male,21800.5,13207.5,701,637964.96,84,0.7249,0
51458.9,56,Male,11425.88,10969.66,770,169137.13,48,0.5202,0
79564.44,46,Male,9103.02,6083.87,819,1230023.08,24,0.9114,0
34508.93,51,Male,11536.87,7864.89,711,594290.94,12,2.0843,1
41613.04,32,Female,10260.4,11148.57,764,1186580.36,60,1.1345,1
40293.52,37,Male,11072.59,5047.21,689,766599.97,84,0.7258,1
25000.0,35,Female,5782.35,7011.79,797,1548901.29,12,5.9875,1
56843.67,29,Male,17546.76,6939.29,687,2478105.73,48,1.5575,1
55855.74,59,Female,6048.25,14821.24,765,1413356.61,60,0.9238,1
49146.29,32,Female,8212.08,580.2,784,1652550.2,84,0.7546,0
